Date,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
2019-05-01T00:00:00Z,81,140,13,2,28,22,23,140
2019-05-02T00:00:00Z,129,214,14,2,17,25,25,214
2019-05-03T00:00:00Z,89,144,11,2,17,13,43,144
2019-05-04T00:00:00Z,-,-,-,-,-,20,23,23
2019-05-05T00:00:00Z,78,116,6,2,13,27,25,116
2019-05-06T00:00:00Z,65,109,4,5,12,23,30,109
2019-05-07T00:00:00Z,62,105,6,4,13,34,8,105
2019-05-08T00:00:00Z,55,101,6,4,14,26,14,101
2019-05-09T00:00:00Z,58,104,8,2,34,22,21,104
2019-05-10T00:00:00Z,50,80,6,3,29,19,12,80
2019-05-11T00:00:00Z,41,76,5,2,21,17,11,76
2019-05-12T00:00:00Z,51,94,5,3,13,15,16,94
2019-05-13T00:00:00Z,63,121,5,2,14,15,21,121
2019-05-14T00:00:00Z,64,108,5,2,17,13,16,108
2019-05-15T00:00:00Z,61,110,5,2,20,17,28,110
2019-05-16T00:00:00Z,54,96,5,2,12,16,21,96
2019-05-17T00:00:00Z,-,-,-,-,-,29,17,29
2019-05-18T00:00:00Z,48,108,3,2,6,21,27,108
2019-05-19T00:00:00Z,48,97,4,2,5,29,19,97
2019-05-20T00:00:00Z,46,95,5,2,7,46,13,95
2019-05-21T00:00:00Z,47,86,5,2,9,39,12,86
2019-05-22T00:00:00Z,46,88,4,2,10,35,17,88
2019-05-23T00:00:00Z,42,80,4,2,10,26,32,80
2019-05-24T00:00:00Z,55,104,4,1,9,27,15,104
2019-05-25T00:00:00Z,72,121,4,1,14,38,17,121
2019-05-26T00:00:00Z,77,120,5,2,15,47,11,120
2019-05-27T00:00:00Z,72,122,5,2,20,38,24,122
2019-05-28T00:00:00Z,66,116,6,1,24,49,14,116
2019-05-29T00:00:00Z,70,116,6,2,19,52,9,116
2019-05-30T00:00:00Z,58,117,8,2,15,53,16,117
2019-05-31T00:00:00Z,55,96,9,2,17,42,25,96
2019-06-01T00:00:00Z,62,104,8,2,20,32,42,104
2019-06-02T00:00:00Z,60,98,8,2,12,27,44,98
2019-06-03T00:00:00Z,59,98,9,2,13,28,50,98
2019-06-04T00:00:00Z,57,98,8,2,10,28,50,98
2019-06-05T00:00:00Z,46,98,8,2,12,29,43,98
