Date,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
2019-05-01 00:00:00+00:00,81.0,140.0,13.0,2.0,28.0,22.0,23.0,140.0
2019-05-02 00:00:00+00:00,129.0,214.0,14.0,2.0,17.0,25.0,25.0,214.0
2019-05-03 00:00:00+00:00,89.0,144.0,11.0,2.0,17.0,13.0,43.0,144.0
2019-05-04 00:00:00+00:00,83.5,130.0,8.5,2.0,15.0,20.0,23.0,23.0
2019-05-05 00:00:00+00:00,78.0,116.0,6.0,2.0,13.0,27.0,25.0,116.0
2019-05-06 00:00:00+00:00,65.0,109.0,4.0,5.0,12.0,23.0,30.0,109.0
2019-05-07 00:00:00+00:00,62.0,105.0,6.0,4.0,13.0,34.0,8.0,105.0
2019-05-08 00:00:00+00:00,55.0,101.0,6.0,4.0,14.0,26.0,14.0,101.0
2019-05-09 00:00:00+00:00,58.0,104.0,8.0,2.0,34.0,22.0,21.0,104.0
2019-05-10 00:00:00+00:00,50.0,80.0,6.0,3.0,29.0,19.0,12.0,80.0
2019-05-11 00:00:00+00:00,41.0,76.0,5.0,2.0,21.0,17.0,11.0,76.0
2019-05-12 00:00:00+00:00,51.0,94.0,5.0,3.0,13.0,15.0,16.0,94.0
2019-05-13 00:00:00+00:00,63.0,121.0,5.0,2.0,14.0,15.0,21.0,121.0
2019-05-14 00:00:00+00:00,64.0,108.0,5.0,2.0,17.0,13.0,16.0,108.0
2019-05-15 00:00:00+00:00,61.0,110.0,5.0,2.0,20.0,17.0,28.0,110.0
2019-05-16 00:00:00+00:00,54.0,96.0,5.0,2.0,12.0,16.0,21.0,96.0
2019-05-17 00:00:00+00:00,51.0,102.0,4.0,2.0,9.0,29.0,17.0,29.0
2019-05-18 00:00:00+00:00,48.0,108.0,3.0,2.0,6.0,21.0,27.0,108.0
2019-05-19 00:00:00+00:00,48.0,97.0,4.0,2.0,5.0,29.0,19.0,97.0
2019-05-20 00:00:00+00:00,46.0,95.0,5.0,2.0,7.0,46.0,13.0,95.0
2019-05-21 00:00:00+00:00,47.0,86.0,5.0,2.0,9.0,39.0,12.0,86.0
2019-05-22 00:00:00+00:00,46.0,88.0,4.0,2.0,10.0,35.0,17.0,88.0
2019-05-23 00:00:00+00:00,42.0,80.0,4.0,2.0,10.0,26.0,32.0,80.0
2019-05-24 00:00:00+00:00,55.0,104.0,4.0,1.0,9.0,27.0,15.0,104.0
2019-05-25 00:00:00+00:00,72.0,121.0,4.0,1.0,14.0,38.0,17.0,121.0
2019-05-26 00:00:00+00:00,77.0,120.0,5.0,2.0,15.0,47.0,11.0,120.0
2019-05-27 00:00:00+00:00,72.0,122.0,5.0,2.0,20.0,38.0,24.0,122.0
2019-05-28 00:00:00+00:00,66.0,116.0,6.0,1.0,24.0,49.0,14.0,116.0
2019-05-29 00:00:00+00:00,70.0,116.0,6.0,2.0,19.0,52.0,9.0,116.0
2019-05-30 00:00:00+00:00,58.0,117.0,8.0,2.0,15.0,53.0,16.0,117.0
2019-05-31 00:00:00+00:00,55.0,96.0,9.0,2.0,17.0,42.0,25.0,96.0
2019-06-01 00:00:00+00:00,62.0,104.0,8.0,2.0,20.0,32.0,42.0,104.0
2019-06-02 00:00:00+00:00,60.0,98.0,8.0,2.0,12.0,27.0,44.0,98.0
2019-06-03 00:00:00+00:00,59.0,98.0,9.0,2.0,13.0,28.0,50.0,98.0
2019-06-04 00:00:00+00:00,57.0,98.0,8.0,2.0,10.0,28.0,50.0,98.0
2019-06-05 00:00:00+00:00,46.0,98.0,8.0,2.0,12.0,29.0,43.0,98.0
2019-06-06 00:00:00+00:00,54.0,90.0,8.0,2.0,12.0,29.0,43.0,90.0
2019-06-07 00:00:00+00:00,54.0,100.0,8.0,2.0,12.0,22.0,73.0,100.0
2019-06-08 00:00:00+00:00,54.0,104.0,11.0,2.0,17.0,30.0,35.0,104.0
2019-06-09 00:00:00+00:00,55.0,102.0,8.0,2.0,19.0,16.0,26.0,102.0
2019-06-09 00:00:00+00:00,55.0,102.0,8.0,2.0,19.0,16.0,26.0,102.0
2019-06-11 00:00:00+00:00,46.0,89.0,9.0,2.0,17.0,19.0,24.0,89.0
2019-06-12 00:00:00+00:00,46.0,85.0,8.0,2.0,18.0,19.0,22.0,85.0
2019-06-13 00:00:00+00:00,60.0,109.0,7.0,2.0,6.0,13.0,40.0,109.0
2019-06-14 00:00:00+00:00,39.0,58.0,6.0,2.0,3.0,9.0,33.0,58.0
2019-06-15 00:00:00+00:00,51.0,75.0,7.0,2.0,4.0,8.0,30.0,75.0
2019-06-16 00:00:00+00:00,50.0,63.0,7.0,2.0,4.0,22.0,30.27,63.0
2019-06-17 00:00:00+00:00,49.0,72.0,7.0,2.0,4.0,13.0,30.53,72.0
2019-06-18 00:00:00+00:00,45.0,66.0,7.0,2.0,8.0,11.0,30.8,66.0
2019-06-19 00:00:00+00:00,33.0,48.0,6.0,2.0,2.0,11.0,31.07,48.0
2019-06-20 00:00:00+00:00,55.0,73.0,7.0,2.0,2.0,6.0,31.33,73.0
2019-06-21 00:00:00+00:00,52.0,75.0,9.0,2.0,3.0,12.0,31.6,75.0
2019-06-22 00:00:00+00:00,59.0,94.0,9.0,2.0,4.0,17.0,31.87,94.0
2019-06-23 00:00:00+00:00,64.0,86.0,7.0,2.0,9.0,7.0,32.13,86.0
2019-06-24 00:00:00+00:00,55.0,75.0,8.0,2.0,7.0,11.0,32.4,75.0
2019-06-25 00:00:00+00:00,80.0,86.0,11.0,2.0,5.0,46.0,32.67,86.0
2019-06-26 00:00:00+00:00,71.0,75.0,9.0,2.0,4.0,17.0,32.93,75.0
2019-06-27 00:00:00+00:00,68.0,84.0,8.0,2.0,3.0,7.0,33.2,84.0
2019-06-28 00:00:00+00:00,46.0,64.0,7.0,2.0,3.0,18.0,33.47,64.0
2019-06-29 00:00:00+00:00,42.0,63.0,8.0,2.0,3.0,21.0,33.73,63.0
2019-06-30 00:00:00+00:00,45.0,74.0,8.0,2.0,6.0,15.0,34.0,74.0
2019-07-01 00:00:00+00:00,53.0,88.0,6.0,2.0,3.0,9.0,34.0,88.0
2019-07-02 00:00:00+00:00,41.0,67.0,7.0,2.0,3.0,13.0,34.0,67.0
2019-07-03 00:00:00+00:00,46.0,79.0,7.0,2.0,2.0,15.0,34.0,79.0
2019-07-04 00:00:00+00:00,33.0,53.0,8.0,2.0,2.0,12.0,34.0,53.0
2019-07-05 00:00:00+00:00,40.0,65.0,11.0,2.0,2.0,27.0,34.0,65.0
2019-07-06 00:00:00+00:00,46.0,76.0,10.0,1.0,2.0,15.0,34.0,76.0
2019-07-07 00:00:00+00:00,47.0,76.0,10.0,2.0,2.0,10.0,34.0,76.0
2019-07-08 00:00:00+00:00,43.0,69.0,9.0,2.0,2.0,8.0,34.0,69.0
2019-07-09 00:00:00+00:00,55.0,87.0,8.0,1.0,2.0,13.0,34.0,87.0
2019-07-10 00:00:00+00:00,52.0,86.0,7.0,1.0,3.0,11.0,34.0,86.0
2019-07-11 00:00:00+00:00,52.0,93.0,8.0,1.0,3.0,14.0,34.0,93.0
2019-07-12 00:00:00+00:00,46.0,78.0,7.0,1.0,3.0,12.0,34.0,78.0
2019-07-13 00:00:00+00:00,42.0,77.0,8.0,1.0,3.0,12.0,34.0,77.0
2019-07-14 00:00:00+00:00,45.0,75.0,8.0,2.0,4.0,14.0,34.0,75.0
2019-07-15 00:00:00+00:00,45.0,82.0,7.0,2.0,5.0,15.0,34.0,82.0
2019-07-16 00:00:00+00:00,44.0,84.0,8.0,2.0,5.0,21.0,34.0,84.0
2019-07-17 00:00:00+00:00,43.0,71.0,8.0,2.0,5.0,24.0,34.0,71.0
2019-07-18 00:00:00+00:00,45.0,70.0,8.0,2.0,4.0,26.0,34.0,70.0
2019-07-19 00:00:00+00:00,50.0,76.0,8.0,2.0,5.0,26.0,34.0,76.0
2019-07-20 00:00:00+00:00,53.0,82.0,8.0,2.0,6.0,34.0,34.0,82.0
2019-07-21 00:00:00+00:00,60.0,83.0,7.0,1.0,10.0,28.0,34.0,83.0
2019-07-22 00:00:00+00:00,58.0,64.0,7.0,1.0,5.0,34.0,34.0,64.0
2019-07-23 00:00:00+00:00,35.0,41.0,8.0,1.0,4.0,36.0,34.0,41.0
2019-07-24 00:00:00+00:00,53.0,48.0,7.0,2.0,3.0,32.0,34.0,53.0
2019-07-25 00:00:00+00:00,44.0,52.0,7.0,2.0,4.0,33.0,34.0,52.0
