Date,AQI
2019-05-01 00:00:00+00:00,140
2019-05-02 00:00:00+00:00,214
2019-05-03 00:00:00+00:00,144
2019-05-04 00:00:00+00:00,130
2019-05-05 00:00:00+00:00,116
2019-05-06 00:00:00+00:00,109
2019-05-07 00:00:00+00:00,105
2019-05-08 00:00:00+00:00,101
2019-05-09 00:00:00+00:00,104
2019-05-10 00:00:00+00:00,80
2019-05-11 00:00:00+00:00,76
2019-05-12 00:00:00+00:00,94
2019-05-13 00:00:00+00:00,121
2019-05-14 00:00:00+00:00,108
2019-05-15 00:00:00+00:00,110
2019-05-16 00:00:00+00:00,96
2019-05-17 00:00:00+00:00,102
2019-05-18 00:00:00+00:00,108
2019-05-19 00:00:00+00:00,97
2019-05-20 00:00:00+00:00,95
2019-05-21 00:00:00+00:00,86
2019-05-22 00:00:00+00:00,88
2019-05-23 00:00:00+00:00,80
2019-05-24 00:00:00+00:00,104
2019-05-25 00:00:00+00:00,121
2019-05-26 00:00:00+00:00,120
2019-05-27 00:00:00+00:00,122
2019-05-28 00:00:00+00:00,116
2019-05-29 00:00:00+00:00,116
2019-05-30 00:00:00+00:00,117
2019-05-31 00:00:00+00:00,96
2019-06-01 00:00:00+00:00,104
2019-06-02 00:00:00+00:00,98
2019-06-03 00:00:00+00:00,98
2019-06-04 00:00:00+00:00,98
2019-06-05 00:00:00+00:00,98
2019-06-06 00:00:00+00:00,90
2019-06-07 00:00:00+00:00,100
2019-06-08 00:00:00+00:00,104
2019-06-09 00:00:00+00:00,102
2019-06-09 00:00:00+00:00,102
2019-06-11 00:00:00+00:00,89
2019-06-12 00:00:00+00:00,85
2019-06-13 00:00:00+00:00,109
2019-06-14 00:00:00+00:00,58
2019-06-15 00:00:00+00:00,75
2019-06-16 00:00:00+00:00,63
2019-06-17 00:00:00+00:00,72
2019-06-18 00:00:00+00:00,66
2019-06-19 00:00:00+00:00,48
2019-06-20 00:00:00+00:00,73
2019-06-21 00:00:00+00:00,75
2019-06-22 00:00:00+00:00,94
2019-06-23 00:00:00+00:00,86
2019-06-24 00:00:00+00:00,75
2019-06-25 00:00:00+00:00,86
2019-06-26 00:00:00+00:00,75
2019-06-27 00:00:00+00:00,84
2019-06-28 00:00:00+00:00,64
2019-06-29 00:00:00+00:00,63
2019-06-30 00:00:00+00:00,74
2019-07-01 00:00:00+00:00,88
2019-07-02 00:00:00+00:00,67
2019-07-03 00:00:00+00:00,79
2019-07-04 00:00:00+00:00,53
2019-07-05 00:00:00+00:00,65
2019-07-06 00:00:00+00:00,76
2019-07-07 00:00:00+00:00,76
2019-07-08 00:00:00+00:00,69
2019-07-09 00:00:00+00:00,87
2019-07-10 00:00:00+00:00,86
2019-07-11 00:00:00+00:00,93
2019-07-12 00:00:00+00:00,78
2019-07-13 00:00:00+00:00,77
2019-07-14 00:00:00+00:00,75
2019-07-15 00:00:00+00:00,82
2019-07-16 00:00:00+00:00,84
2019-07-17 00:00:00+00:00,71
2019-07-18 00:00:00+00:00,70
2019-07-19 00:00:00+00:00,76
2019-07-20 00:00:00+00:00,82
2019-07-21 00:00:00+00:00,83
2019-07-22 00:00:00+00:00,64
2019-07-23 00:00:00+00:00,41
2019-07-24 00:00:00+00:00,53
2019-07-25 00:00:00+00:00,52
2019-07-26 00:00:00+00:00,57
2019-07-27 00:00:00+00:00,62
2019-07-28 00:00:00+00:00,81
2019-07-29 00:00:00+00:00,75
2019-07-30 00:00:00+00:00,37
2019-07-31 00:00:00+00:00,34
2019-08-01 00:00:00+00:00,30
2019-08-02 00:00:00+00:00,46
2019-08-03 00:00:00+00:00,51
2019-08-04 00:00:00+00:00,55
2019-08-05 00:00:00+00:00,57
2019-08-06 00:00:00+00:00,75
2019-08-07 00:00:00+00:00,73
2019-08-08 00:00:00+00:00,84
2019-08-09 00:00:00+00:00,97
2019-08-10 00:00:00+00:00,49
2019-08-11 00:00:00+00:00,30
2019-08-12 00:00:00+00:00,48
2019-08-13 00:00:00+00:00,71
2019-08-14 00:00:00+00:00,91
2019-08-15 00:00:00+00:00,78
2019-08-16 00:00:00+00:00,36
2019-08-17 00:00:00+00:00,31
2019-08-18 00:00:00+00:00,45
2019-08-19 00:00:00+00:00,46
2019-08-20 00:00:00+00:00,55
2019-08-21 00:00:00+00:00,57
2019-08-22 00:00:00+00:00,68
2019-08-23 00:00:00+00:00,75
